Date;Name;Type;Open_price;Value;Close price;Reasons;Step;Step price;Delta;Total
22.02.2022;BRH2022;шорт;98,17;6;97,20;закрыл в руччную;0,01;7,89;4591,69;174690,8
22.02.2022;SFH2022;лонг;433,60;3;432,20;закрыл в руччную;0,01;0,76;-320,34;174370,46
22.02.2022;BRH2022;шорт;97,82;3;96,30;закрыл в руччную;0,01;7,89;3597,61;177968,07
23.02.2022;GDH2022;шорт;1895,60;3;1914,50;stop;0,1;7,96;-4511,34;173456,73
23.02.2022;GDH2022;шорт;1903,00;2;1914,50;stop;0,1;7,96;-1830;171626,73
23.02.2022;GDH2022;шорт;1895,70;1;1914,50;stop;0,1;7,96;-1495,82;170130,91
23.02.2022;GDH2022;шорт;1892,30;1;1914,50;stop;0,1;7,96;-1766,34;168364,57
24.02.2022;BRH2022;лонг;103,97;1;99,35;stop;0,01;7,89;-3644,95;164719,62
07.04.2022;SIM2022;лонг;79872,00;1;81101,00;hands;1;1;1229;165948,62
08.04.2022;SIM2022;лонг;81071,00;1;81101,00;hands;1;1;30;165978,62
11.04.2022;SIM2022;лонг;81899,00;1;81101,00;hands;1;1;-798;165180,62
11.04.2022;SIM2022;шорт;81097,00;1;83750,00;take;1;1;-2653;162527,62
11.04.2022;SIM2022;шорт;80766,00;1;83750,00;take;1;1;-2984;159543,62
11.04.2022;SIM2022;шорт;80656,00;1;79700,00;take;1;1;956;160499,62
12.04.2022;SIM2022;шорт;81658,00;1;78680,00;take;1;1;2978;163477,62
12.04.2022;BRJ2022;шорт;100,86;1;103,48;Stop;0,01;6,61;-1732,84;161744,78
12.04.2022;BRJ2022;шорт;102,10;1;102,22;Stop;0,01;6,61;-79,37;161665,41
12.04.2022;BRJ2022;шорт;101,24;1;103,25;Stop;0,01;6,61;-1329,4;160336,01
15.04.2022;SIM2022;шорт;81585,00;1;78680,00;take;1;1;2905;163241,01
15.04.2022;SIM2022;шорт;81590,00;1;78160,00;take;1;1;3430;166671,01
20.04.2022;GDJ2022;лонг;1957,00;1;1942,40;Stop;0,1;6,61;-965,63;165705,38
20.04.2022;GDJ2022;лонг;1955,00;1;1942,40;Stop;0,1;6,61;-833,35;164872,03
21.04.2022;GDJ2022;лонг;1947,50;1;1942,40;Stop;0,1;6,61;-337,31;164534,72
25.04.2022;SIM2022;лонг;74790,00;1;74400,00;Stop;1;1;-390;164144,72
28.04.2022;NGJ2022;шорт;6,90;1;6,90;Stop;0;6,61;0;164144,72
07.06.2022;Si-12.21;лонг;73098,00;1;72544,00;stop;1;1;-554;163590,72
